Scan,Time,5001 <LOAD> (VDC),5021 <DISP> (VDC),1-1p (6001),1-3p (6002),2-4p (6003),3-1p (6004),3-5p (6005),4-2p (6006),4-6p (6007),5-3p (6008),5-7p (6009),6-4p (6010),6-8p (6011),7-5p (6012),7-9p (6013),8-6p (6014),8-10p (6015),9-7p (6016),9-11p (6017),10-8p (6018),10-12p (6019),11-9p (6020),11-13p (6021),12-10p (6022),12-14p (6023),13-11p (6024),13-15p (6025),14-12p (6026),14-16p (6027),15-13p (6028),15-17p (6029),16-14p (6030),16-18p (6031),17-15p (6032),17-19p (6033),18-16p (6034),18-20p (6035),19-17p (6036),19-21p (6037),20-18p (6038),21-19p (6039),21-21p (6040)
140,2025-07-03 16:30:38.676699+00:00,0.1,0.1,5.0,86.0,39.0,59.0,17.0,10.0,19.0,78.0,76.0,49.0,65.0,34.0,58.0,41.0,98.0,7.0,7.0,26.0,61.0,22.0,81.0,49.0,14.0,92.0,18.0,20.0,100.0,47.0,4.0,6.0,40.0,77.0,45.0,20.0,67.0,65.0,42.0,34.0,22.0,27.0
141,2025-07-03 16:30:38.778265+00:00,0.1,0.1,6.0,63.0,38.0,93.0,23.0,59.0,63.0,58.0,99.0,78.0,55.0,14.0,55.0,90.0,46.0,83.0,34.0,62.0,97.0,51.0,79.0,33.0,19.0,77.0,29.0,91.0,74.0,79.0,26.0,17.0,85.0,19.0,17.0,100.0,58.0,26.0,67.0,31.0,70.0,49.0
142,2025-07-03 16:30:38.877713+00:00,0.1,0.1,58.0,100.0,32.0,95.0,54.0,90.0,2.0,49.0,10.0,95.0,42.0,59.0,81.0,75.0,13.0,37.0,23.0,78.0,90.0,78.0,68.0,85.0,52.0,30.0,14.0,49.0,91.0,16.0,50.0,92.0,67.0,99.0,47.0,38.0,28.0,54.0,6.0,53.0,27.0,7.0
143,2025-07-03 16:30:38.978357+00:00,0.1,0.1,22.0,69.0,10.0,46.0,63.0,3.0,45.0,80.0,80.0,57.0,37.0,34.0,71.0,79.0,76.0,22.0,68.0,91.0,36.0,40.0,73.0,10.0,87.0,4.0,12.0,3.0,7.0,64.0,10.0,0.0,50.0,59.0,22.0,62.0,58.0,10.0,99.0,12.0,54.0,2.0
144,2025-07-03 16:30:39.078848+00:00,0.1,0.1,52.0,87.0,81.0,69.0,0.0,5.0,36.0,20.0,46.0,26.0,94.0,54.0,41.0,65.0,47.0,77.0,11.0,22.0,26.0,91.0,40.0,45.0,86.0,38.0,27.0,66.0,5.0,92.0,95.0,60.0,2.0,71.0,58.0,38.0,61.0,8.0,23.0,41.0,20.0,42.0
145,2025-07-03 16:30:39.179785+00:00,0.1,0.1,4.0,9.0,19.0,60.0,2.0,86.0,49.0,90.0,26.0,40.0,50.0,42.0,35.0,100.0,10.0,68.0,54.0,31.0,65.0,63.0,44.0,33.0,97.0,56.0,63.0,68.0,34.0,44.0,84.0,53.0,31.0,13.0,18.0,57.0,34.0,56.0,62.0,97.0,88.0,32.0
146,2025-07-03 16:30:39.321475+00:00,0.1,0.1,62.0,89.0,71.0,37.0,65.0,71.0,78.0,12.0,11.0,81.0,36.0,14.0,36.0,78.0,53.0,61.0,45.0,78.0,97.0,56.0,57.0,21.0,90.0,26.0,42.0,42.0,59.0,57.0,13.0,77.0,25.0,90.0,50.0,74.0,66.0,53.0,6.0,61.0,45.0,14.0
147,2025-07-03 16:30:39.423127+00:00,0.1,0.1,26.0,78.0,84.0,17.0,77.0,2.0,31.0,27.0,55.0,0.0,33.0,34.0,27.0,8.0,37.0,10.0,82.0,72.0,58.0,47.0,45.0,93.0,34.0,78.0,54.0,68.0,6.0,97.0,3.0,98.0,19.0,15.0,69.0,53.0,97.0,0.0,6.0,98.0,5.0,81.0
148,2025-07-03 16:30:39.523614+00:00,0.1,0.1,0.0,97.0,98.0,8.0,15.0,47.0,24.0,86.0,48.0,78.0,29.0,100.0,2.0,56.0,45.0,24.0,66.0,41.0,13.0,82.0,33.0,70.0,87.0,5.0,82.0,33.0,70.0,90.0,36.0,10.0,21.0,40.0,82.0,63.0,16.0,32.0,29.0,85.0,3.0,2.0
149,2025-07-03 16:30:39.617696+00:00,0.1,0.1,75.0,54.0,14.0,54.0,9.0,2.0,84.0,5.0,24.0,71.0,46.0,19.0,95.0,47.0,38.0,70.0,22.0,51.0,38.0,30.0,5.0,17.0,34.0,20.0,42.0,51.0,80.0,36.0,9.0,69.0,57.0,9.0,62.0,16.0,85.0,53.0,20.0,34.0,0.0,60.0
150,2025-07-03 16:30:39.718176+00:00,0.1,0.1,63.0,61.0,57.0,8.0,39.0,48.0,75.0,52.0,68.0,5.0,33.0,59.0,36.0,7.0,11.0,89.0,13.0,16.0,34.0,55.0,48.0,4.0,17.0,41.0,85.0,49.0,34.0,80.0,6.0,93.0,18.0,35.0,86.0,44.0,97.0,5.0,37.0,43.0,62.0,88.0
151,2025-07-03 16:30:39.818313+00:00,0.1,0.1,34.0,73.0,5.0,97.0,62.0,61.0,49.0,20.0,30.0,24.0,58.0,90.0,33.0,83.0,59.0,26.0,20.0,73.0,70.0,11.0,21.0,38.0,88.0,8.0,33.0,48.0,84.0,92.0,34.0,90.0,69.0,54.0,0.0,98.0,20.0,91.0,73.0,23.0,14.0,41.0
152,2025-07-03 16:30:39.925232+00:00,0.1,0.1,46.0,47.0,22.0,37.0,28.0,49.0,21.0,67.0,1.0,74.0,5.0,24.0,48.0,49.0,76.0,64.0,12.0,93.0,90.0,83.0,71.0,49.0,65.0,6.0,88.0,6.0,58.0,95.0,6.0,97.0,12.0,32.0,44.0,100.0,77.0,90.0,9.0,90.0,91.0,7.0
153,2025-07-03 16:30:40.019327+00:00,0.1,0.1,38.0,59.0,53.0,13.0,69.0,95.0,21.0,30.0,89.0,76.0,39.0,58.0,78.0,52.0,57.0,64.0,87.0,16.0,26.0,63.0,79.0,86.0,5.0,29.0,13.0,72.0,36.0,86.0,10.0,44.0,10.0,52.0,36.0,23.0,25.0,5.0,37.0,73.0,81.0,13.0
154,2025-07-03 16:30:40.119861+00:00,0.1,0.1,82.0,64.0,36.0,46.0,3.0,8.0,42.0,77.0,78.0,2.0,76.0,55.0,5.0,42.0,8.0,65.0,82.0,44.0,87.0,13.0,88.0,22.0,86.0,32.0,64.0,13.0,67.0,79.0,99.0,82.0,88.0,21.0,74.0,92.0,8.0,35.0,93.0,7.0,70.0,63.0
155,2025-07-03 16:30:40.220059+00:00,0.1,0.1,71.0,75.0,83.0,0.0,30.0,28.0,11.0,2.0,84.0,38.0,72.0,0.0,19.0,45.0,43.0,5.0,64.0,17.0,34.0,43.0,56.0,26.0,5.0,65.0,46.0,30.0,43.0,9.0,40.0,38.0,41.0,98.0,36.0,24.0,84.0,74.0,31.0,21.0,9.0,17.0
156,2025-07-03 16:30:40.321144+00:00,0.1,0.1,46.0,24.0,44.0,32.0,93.0,50.0,31.0,35.0,98.0,49.0,67.0,98.0,47.0,27.0,79.0,21.0,77.0,14.0,19.0,41.0,12.0,55.0,56.0,0.0,59.0,34.0,75.0,100.0,7.0,100.0,39.0,68.0,87.0,19.0,36.0,3.0,31.0,58.0,72.0,0.0
157,2025-07-03 16:30:40.434623+00:00,0.1,0.1,8.0,48.0,20.0,81.0,57.0,39.0,75.0,100.0,73.0,42.0,12.0,25.0,17.0,29.0,36.0,79.0,6.0,82.0,62.0,67.0,90.0,45.0,56.0,56.0,38.0,40.0,80.0,38.0,34.0,98.0,82.0,39.0,96.0,39.0,87.0,69.0,10.0,72.0,97.0,18.0
158,2025-07-03 16:30:40.560768+00:00,0.1,0.1,90.0,74.0,91.0,38.0,79.0,85.0,56.0,61.0,78.0,23.0,45.0,95.0,80.0,8.0,77.0,71.0,100.0,8.0,56.0,95.0,89.0,5.0,81.0,45.0,69.0,10.0,59.0,53.0,54.0,51.0,73.0,99.0,49.0,28.0,24.0,16.0,38.0,59.0,26.0,82.0
159,2025-07-03 16:30:40.643448+00:00,0.1,0.1,58.0,55.0,55.0,44.0,20.0,78.0,23.0,29.0,73.0,13.0,55.0,10.0,15.0,85.0,8.0,61.0,39.0,29.0,31.0,54.0,14.0,81.0,80.0,27.0,81.0,70.0,37.0,81.0,10.0,81.0,32.0,37.0,55.0,78.0,8.0,90.0,52.0,10.0,39.0,67.0
160,2025-07-03 16:30:40.737794+00:00,0.1,0.1,82.0,68.0,84.0,67.0,40.0,9.0,23.0,20.0,77.0,17.0,9.0,26.0,96.0,100.0,4.0,11.0,75.0,91.0,30.0,16.0,45.0,21.0,36.0,2.0,10.0,15.0,60.0,51.0,72.0,69.0,33.0,71.0,19.0,56.0,75.0,60.0,100.0,83.0,6.0,65.0
161,2025-07-03 16:30:40.838375+00:00,0.1,0.1,53.0,51.0,69.0,62.0,86.0,42.0,3.0,60.0,5.0,12.0,18.0,62.0,11.0,49.0,69.0,46.0,50.0,72.0,90.0,6.0,71.0,42.0,99.0,9.0,28.0,42.0,100.0,53.0,45.0,100.0,19.0,65.0,97.0,82.0,41.0,16.0,45.0,73.0,96.0,74.0
162,2025-07-03 16:30:40.938758+00:00,0.1,0.1,62.0,84.0,49.0,43.0,62.0,81.0,34.0,76.0,55.0,41.0,91.0,28.0,28.0,33.0,90.0,79.0,90.0,15.0,54.0,77.0,87.0,91.0,48.0,23.0,86.0,43.0,96.0,46.0,3.0,37.0,65.0,60.0,98.0,45.0,19.0,77.0,25.0,4.0,25.0,70.0
163,2025-07-03 16:30:41.039901+00:00,0.1,0.1,25.0,31.0,87.0,58.0,71.0,23.0,8.0,33.0,12.0,18.0,70.0,94.0,35.0,97.0,94.0,78.0,80.0,76.0,59.0,41.0,19.0,7.0,53.0,71.0,1.0,68.0,79.0,1.0,51.0,28.0,24.0,67.0,6.0,16.0,3.0,57.0,33.0,35.0,37.0,99.0
164,2025-07-03 16:30:41.141127+00:00,0.1,0.1,80.0,20.0,18.0,10.0,26.0,7.0,67.0,79.0,81.0,87.0,54.0,27.0,45.0,82.0,20.0,70.0,93.0,23.0,30.0,21.0,83.0,75.0,53.0,2.0,21.0,36.0,93.0,99.0,55.0,58.0,71.0,72.0,61.0,10.0,91.0,10.0,99.0,44.0,27.0,71.0
165,2025-07-03 16:30:41.241251+00:00,0.1,0.1,90.0,87.0,9.0,17.0,11.0,23.0,94.0,8.0,35.0,91.0,80.0,90.0,63.0,92.0,80.0,88.0,89.0,17.0,19.0,85.0,65.0,82.0,36.0,32.0,11.0,49.0,97.0,88.0,71.0,98.0,89.0,94.0,57.0,90.0,80.0,1.0,79.0,4.0,23.0,85.0
166,2025-07-03 16:30:41.341518+00:00,0.1,0.1,58.0,44.0,49.0,57.0,12.0,74.0,41.0,12.0,73.0,70.0,20.0,50.0,64.0,73.0,75.0,75.0,89.0,38.0,70.0,97.0,25.0,39.0,76.0,12.0,29.0,36.0,91.0,93.0,13.0,6.0,89.0,35.0,15.0,86.0,11.0,33.0,87.0,2.0,43.0,78.0
167,2025-07-03 16:30:41.442862+00:00,0.1,0.1,62.0,83.0,43.0,47.0,18.0,78.0,17.0,58.0,16.0,6.0,89.0,68.0,65.0,67.0,97.0,73.0,34.0,57.0,61.0,88.0,43.0,70.0,68.0,52.0,56.0,52.0,52.0,41.0,68.0,19.0,11.0,32.0,34.0,80.0,43.0,90.0,7.0,12.0,77.0,99.0
168,2025-07-03 16:30:41.679577+00:00,0.1,0.1,94.0,70.0,20.0,39.0,97.0,91.0,75.0,61.0,94.0,93.0,51.0,15.0,46.0,84.0,33.0,26.0,19.0,10.0,24.0,57.0,76.0,38.0,56.0,26.0,52.0,84.0,77.0,12.0,37.0,71.0,72.0,44.0,13.0,40.0,49.0,64.0,90.0,78.0,73.0,82.0
169,2025-07-03 16:30:41.686908+00:00,0.1,0.1,93.0,31.0,2.0,86.0,13.0,79.0,25.0,62.0,93.0,37.0,41.0,76.0,74.0,15.0,93.0,6.0,57.0,22.0,48.0,25.0,26.0,87.0,17.0,33.0,19.0,56.0,18.0,33.0,78.0,17.0,23.0,97.0,44.0,18.0,48.0,95.0,87.0,50.0,72.0,6.0
170,2025-07-03 16:30:41.789314+00:00,0.1,0.1,96.0,71.0,13.0,0.0,16.0,41.0,4.0,5.0,77.0,86.0,71.0,89.0,8.0,28.0,18.0,3.0,77.0,61.0,98.0,96.0,66.0,66.0,58.0,49.0,62.0,16.0,93.0,72.0,60.0,81.0,19.0,66.0,41.0,64.0,22.0,96.0,1.0,89.0,61.0,97.0
171,2025-07-03 16:30:41.870782+00:00,0.1,0.1,70.0,27.0,6.0,62.0,86.0,78.0,26.0,29.0,44.0,78.0,44.0,95.0,15.0,74.0,41.0,44.0,13.0,14.0,14.0,71.0,8.0,61.0,70.0,65.0,30.0,51.0,46.0,35.0,52.0,75.0,87.0,50.0,92.0,2.0,12.0,98.0,33.0,56.0,37.0,27.0
172,2025-07-03 16:30:41.971313+00:00,0.1,0.1,54.0,20.0,56.0,65.0,83.0,79.0,5.0,97.0,86.0,17.0,28.0,67.0,35.0,12.0,17.0,5.0,85.0,82.0,4.0,13.0,4.0,63.0,7.0,45.0,84.0,72.0,92.0,80.0,46.0,9.0,70.0,89.0,70.0,87.0,7.0,3.0,18.0,54.0,8.0,19.0
173,2025-07-03 16:30:42.071918+00:00,0.1,0.1,6.0,51.0,96.0,18.0,54.0,10.0,19.0,45.0,59.0,71.0,17.0,69.0,58.0,3.0,68.0,57.0,32.0,59.0,23.0,69.0,29.0,34.0,42.0,88.0,4.0,46.0,29.0,7.0,54.0,48.0,90.0,57.0,28.0,4.0,21.0,74.0,26.0,62.0,33.0,91.0
174,2025-07-03 16:30:42.173087+00:00,0.1,0.1,3.0,13.0,39.0,95.0,82.0,52.0,8.0,27.0,70.0,94.0,19.0,17.0,87.0,85.0,79.0,42.0,66.0,59.0,73.0,5.0,5.0,14.0,67.0,49.0,53.0,56.0,19.0,88.0,4.0,84.0,22.0,10.0,55.0,82.0,25.0,65.0,15.0,43.0,61.0,54.0
175,2025-07-03 16:30:42.315490+00:00,0.1,0.1,79.0,49.0,45.0,34.0,84.0,39.0,26.0,12.0,27.0,40.0,67.0,92.0,75.0,62.0,49.0,100.0,4.0,20.0,59.0,6.0,72.0,4.0,43.0,32.0,45.0,24.0,65.0,55.0,23.0,15.0,98.0,64.0,20.0,56.0,16.0,34.0,43.0,11.0,8.0,55.0
176,2025-07-03 16:30:42.374529+00:00,0.1,0.1,95.0,32.0,10.0,0.0,14.0,70.0,31.0,28.0,31.0,51.0,86.0,77.0,98.0,36.0,38.0,24.0,49.0,86.0,31.0,96.0,40.0,59.0,15.0,79.0,56.0,90.0,54.0,23.0,67.0,59.0,33.0,94.0,29.0,12.0,28.0,98.0,62.0,45.0,47.0,5.0
177,2025-07-03 16:30:42.475000+00:00,0.1,0.1,24.0,9.0,47.0,19.0,11.0,72.0,68.0,77.0,53.0,69.0,82.0,76.0,26.0,45.0,15.0,73.0,43.0,27.0,3.0,28.0,67.0,80.0,27.0,0.0,31.0,30.0,80.0,36.0,78.0,63.0,13.0,77.0,32.0,5.0,50.0,53.0,9.0,51.0,61.0,50.0
178,2025-07-03 16:30:42.575887+00:00,0.1,0.1,91.0,36.0,53.0,37.0,6.0,33.0,31.0,8.0,38.0,98.0,72.0,14.0,97.0,53.0,71.0,87.0,56.0,0.0,67.0,91.0,57.0,97.0,74.0,45.0,94.0,40.0,53.0,75.0,50.0,6.0,37.0,64.0,77.0,79.0,33.0,94.0,15.0,11.0,32.0,47.0
179,2025-07-03 16:30:42.711421+00:00,0.1,0.1,72.0,27.0,56.0,3.0,65.0,45.0,94.0,97.0,7.0,44.0,51.0,91.0,90.0,87.0,14.0,2.0,53.0,31.0,22.0,15.0,75.0,59.0,88.0,19.0,42.0,79.0,85.0,17.0,35.0,36.0,70.0,79.0,96.0,71.0,30.0,17.0,83.0,94.0,35.0,41.0
180,2025-07-03 16:30:42.804420+00:00,0.1,0.1,51.0,53.0,38.0,39.0,52.0,30.0,41.0,44.0,33.0,90.0,58.0,16.0,85.0,55.0,59.0,78.0,15.0,69.0,1.0,84.0,9.0,6.0,34.0,67.0,24.0,34.0,51.0,11.0,97.0,26.0,16.0,97.0,52.0,49.0,26.0,81.0,99.0,36.0,22.0,77.0
181,2025-07-03 16:30:42.926609+00:00,0.1,0.1,92.0,6.0,20.0,46.0,83.0,74.0,3.0,4.0,21.0,3.0,17.0,3.0,26.0,56.0,84.0,93.0,61.0,28.0,18.0,46.0,45.0,14.0,94.0,81.0,26.0,91.0,52.0,21.0,28.0,56.0,58.0,19.0,7.0,48.0,76.0,42.0,77.0,2.0,78.0,54.0
182,2025-07-03 16:30:43.023140+00:00,0.1,0.1,41.0,71.0,5.0,81.0,90.0,78.0,12.0,64.0,20.0,63.0,19.0,69.0,37.0,77.0,93.0,76.0,91.0,71.0,23.0,6.0,12.0,1.0,94.0,25.0,1.0,33.0,62.0,64.0,83.0,8.0,15.0,55.0,4.0,2.0,96.0,34.0,1.0,50.0,95.0,84.0
183,2025-07-03 16:30:43.122707+00:00,0.1,0.1,97.0,59.0,59.0,51.0,46.0,69.0,24.0,3.0,74.0,69.0,24.0,42.0,70.0,20.0,68.0,64.0,3.0,92.0,57.0,80.0,47.0,2.0,93.0,97.0,43.0,77.0,49.0,74.0,36.0,85.0,16.0,66.0,95.0,50.0,58.0,71.0,94.0,81.0,50.0,45.0
184,2025-07-03 16:30:43.223625+00:00,0.1,0.1,19.0,24.0,54.0,49.0,79.0,99.0,9.0,94.0,6.0,18.0,55.0,82.0,70.0,95.0,12.0,96.0,13.0,91.0,21.0,15.0,74.0,55.0,10.0,39.0,6.0,90.0,45.0,74.0,4.0,25.0,59.0,96.0,73.0,79.0,82.0,83.0,89.0,78.0,3.0,57.0
185,2025-07-03 16:30:43.332687+00:00,0.1,0.1,95.0,99.0,70.0,68.0,30.0,73.0,78.0,79.0,94.0,88.0,53.0,35.0,16.0,88.0,29.0,10.0,45.0,53.0,80.0,67.0,99.0,20.0,80.0,85.0,9.0,13.0,87.0,19.0,19.0,30.0,66.0,47.0,12.0,97.0,50.0,26.0,86.0,47.0,30.0,26.0
186,2025-07-03 16:30:43.434705+00:00,0.1,0.1,28.0,82.0,55.0,61.0,88.0,94.0,66.0,7.0,12.0,44.0,41.0,22.0,52.0,14.0,95.0,13.0,75.0,97.0,25.0,49.0,12.0,70.0,44.0,80.0,86.0,100.0,89.0,87.0,58.0,88.0,69.0,16.0,12.0,85.0,24.0,60.0,46.0,82.0,59.0,43.0
187,2025-07-03 16:30:43.536006+00:00,0.1,0.1,67.0,75.0,25.0,38.0,76.0,21.0,97.0,43.0,1.0,56.0,53.0,34.0,19.0,62.0,39.0,14.0,100.0,28.0,44.0,71.0,5.0,98.0,84.0,58.0,6.0,82.0,19.0,55.0,49.0,53.0,58.0,35.0,57.0,18.0,96.0,25.0,95.0,56.0,96.0,74.0
188,2025-07-03 16:30:43.635262+00:00,0.1,0.1,18.0,58.0,86.0,51.0,32.0,0.0,36.0,71.0,94.0,19.0,66.0,17.0,81.0,28.0,58.0,58.0,65.0,48.0,54.0,66.0,52.0,72.0,62.0,47.0,82.0,79.0,17.0,77.0,74.0,84.0,50.0,16.0,36.0,29.0,70.0,75.0,22.0,2.0,36.0,11.0
189,2025-07-03 16:30:43.763955+00:00,0.1,0.1,75.0,88.0,9.0,9.0,7.0,55.0,26.0,14.0,27.0,97.0,42.0,86.0,66.0,98.0,70.0,80.0,97.0,75.0,67.0,45.0,26.0,98.0,22.0,2.0,17.0,34.0,36.0,35.0,79.0,12.0,88.0,64.0,88.0,26.0,4.0,39.0,64.0,60.0,11.0,62.0
190,2025-07-03 16:30:43.862301+00:00,0.1,0.1,31.0,95.0,71.0,71.0,45.0,52.0,42.0,37.0,41.0,70.0,65.0,96.0,33.0,88.0,37.0,30.0,38.0,26.0,67.0,73.0,38.0,79.0,87.0,61.0,86.0,95.0,56.0,55.0,95.0,88.0,58.0,8.0,89.0,60.0,77.0,48.0,5.0,1.0,48.0,70.0
191,2025-07-03 16:30:43.965936+00:00,0.1,0.1,19.0,11.0,50.0,64.0,35.0,100.0,53.0,1.0,66.0,76.0,59.0,61.0,70.0,18.0,70.0,61.0,70.0,41.0,19.0,80.0,24.0,100.0,34.0,97.0,33.0,94.0,51.0,56.0,63.0,8.0,38.0,13.0,11.0,81.0,5.0,77.0,61.0,64.0,76.0,87.0
192,2025-07-03 16:30:44.065657+00:00,0.1,0.1,77.0,52.0,36.0,68.0,9.0,6.0,23.0,19.0,1.0,56.0,69.0,46.0,68.0,54.0,5.0,49.0,85.0,95.0,65.0,99.0,73.0,49.0,60.0,86.0,95.0,96.0,10.0,68.0,81.0,23.0,41.0,19.0,6.0,62.0,11.0,62.0,93.0,0.0,46.0,86.0
193,2025-07-03 16:30:44.166624+00:00,0.1,0.1,84.0,13.0,4.0,69.0,34.0,57.0,43.0,43.0,7.0,19.0,33.0,42.0,74.0,39.0,81.0,7.0,65.0,12.0,61.0,54.0,5.0,91.0,1.0,37.0,85.0,46.0,74.0,37.0,59.0,96.0,61.0,35.0,57.0,94.0,80.0,59.0,44.0,34.0,60.0,49.0
194,2025-07-03 16:30:44.268046+00:00,0.1,0.1,42.0,90.0,39.0,13.0,2.0,33.0,40.0,24.0,42.0,61.0,78.0,48.0,32.0,100.0,48.0,19.0,50.0,87.0,63.0,81.0,52.0,57.0,45.0,1.0,39.0,57.0,20.0,52.0,48.0,18.0,25.0,68.0,19.0,47.0,47.0,88.0,83.0,52.0,15.0,89.0
195,2025-07-03 16:30:44.368627+00:00,0.1,0.1,9.0,99.0,74.0,69.0,70.0,46.0,75.0,63.0,74.0,22.0,17.0,93.0,79.0,87.0,55.0,55.0,81.0,18.0,83.0,0.0,93.0,32.0,99.0,98.0,47.0,61.0,38.0,70.0,58.0,11.0,6.0,34.0,6.0,39.0,8.0,75.0,79.0,23.0,54.0,55.0
196,2025-07-03 16:30:44.469245+00:00,0.1,0.1,24.0,6.0,30.0,87.0,57.0,43.0,94.0,29.0,93.0,73.0,23.0,82.0,11.0,38.0,69.0,75.0,53.0,32.0,75.0,18.0,55.0,38.0,11.0,75.0,2.0,6.0,74.0,45.0,32.0,74.0,28.0,11.0,25.0,22.0,95.0,43.0,31.0,0.0,77.0,5.0
197,2025-07-03 16:30:44.569480+00:00,0.1,0.1,69.0,7.0,39.0,100.0,0.0,47.0,16.0,2.0,94.0,13.0,62.0,13.0,47.0,27.0,41.0,68.0,58.0,22.0,21.0,62.0,77.0,2.0,7.0,41.0,12.0,42.0,62.0,52.0,38.0,49.0,40.0,1.0,50.0,91.0,62.0,81.0,21.0,78.0,12.0,14.0
198,2025-07-03 16:30:44.670108+00:00,0.1,0.1,23.0,54.0,30.0,92.0,82.0,53.0,6.0,45.0,61.0,54.0,61.0,16.0,22.0,75.0,18.0,1.0,88.0,66.0,92.0,15.0,13.0,56.0,85.0,6.0,36.0,86.0,67.0,90.0,44.0,42.0,45.0,36.0,86.0,7.0,49.0,95.0,47.0,41.0,0.0,94.0
199,2025-07-03 16:30:44.797542+00:00,0.1,0.1,69.0,55.0,25.0,81.0,15.0,32.0,84.0,82.0,76.0,33.0,94.0,56.0,29.0,99.0,65.0,68.0,46.0,100.0,50.0,74.0,60.0,25.0,15.0,64.0,29.0,52.0,73.0,15.0,20.0,85.0,53.0,57.0,93.0,31.0,77.0,59.0,37.0,17.0,4.0,1.0
200,2025-07-03 16:30:44.892015+00:00,0.1,0.1,82.0,84.0,99.0,12.0,13.0,89.0,85.0,96.0,27.0,76.0,60.0,24.0,10.0,17.0,55.0,59.0,37.0,4.0,29.0,63.0,6.0,22.0,67.0,73.0,78.0,78.0,44.0,35.0,82.0,5.0,60.0,16.0,48.0,26.0,18.0,87.0,20.0,6.0,52.0,31.0
201,2025-07-03 16:30:44.992913+00:00,0.1,0.1,47.0,23.0,97.0,99.0,46.0,49.0,95.0,82.0,24.0,97.0,63.0,42.0,31.0,34.0,76.0,73.0,2.0,22.0,31.0,18.0,90.0,14.0,31.0,27.0,92.0,1.0,71.0,12.0,62.0,15.0,71.0,4.0,38.0,80.0,43.0,68.0,19.0,92.0,28.0,72.0
202,2025-07-03 16:30:45.146244+00:00,0.1,0.1,91.0,61.0,27.0,38.0,10.0,18.0,22.0,67.0,19.0,58.0,91.0,52.0,30.0,79.0,96.0,62.0,18.0,64.0,8.0,46.0,44.0,84.0,96.0,25.0,100.0,35.0,11.0,67.0,64.0,60.0,31.0,13.0,94.0,28.0,33.0,30.0,42.0,83.0,45.0,61.0
203,2025-07-03 16:30:45.193959+00:00,0.1,0.1,10.0,73.0,44.0,77.0,22.0,22.0,53.0,15.0,4.0,91.0,69.0,93.0,17.0,76.0,83.0,99.0,72.0,25.0,0.0,87.0,6.0,30.0,3.0,1.0,39.0,46.0,65.0,68.0,17.0,8.0,65.0,72.0,71.0,11.0,21.0,85.0,47.0,98.0,34.0,30.0
204,2025-07-03 16:30:45.294593+00:00,0.1,0.1,62.0,65.0,46.0,39.0,59.0,51.0,59.0,26.0,80.0,83.0,47.0,30.0,62.0,59.0,31.0,95.0,43.0,95.0,77.0,62.0,16.0,41.0,94.0,38.0,23.0,52.0,4.0,17.0,22.0,30.0,51.0,18.0,5.0,94.0,5.0,16.0,66.0,76.0,27.0,56.0
205,2025-07-03 16:30:45.394765+00:00,0.1,0.1,91.0,53.0,25.0,89.0,78.0,63.0,15.0,18.0,88.0,7.0,96.0,100.0,27.0,41.0,0.0,90.0,9.0,36.0,42.0,50.0,11.0,6.0,78.0,50.0,16.0,50.0,90.0,1.0,77.0,86.0,77.0,16.0,44.0,98.0,85.0,80.0,71.0,21.0,72.0,79.0
206,2025-07-03 16:30:45.495548+00:00,0.1,0.1,23.0,91.0,62.0,34.0,100.0,85.0,100.0,86.0,29.0,70.0,56.0,54.0,39.0,96.0,39.0,81.0,38.0,11.0,38.0,68.0,12.0,99.0,31.0,73.0,51.0,46.0,34.0,18.0,74.0,86.0,92.0,23.0,41.0,28.0,6.0,55.0,9.0,35.0,23.0,57.0
207,2025-07-03 16:30:45.596106+00:00,0.1,0.1,66.0,86.0,5.0,61.0,17.0,73.0,26.0,24.0,82.0,57.0,96.0,19.0,65.0,21.0,71.0,49.0,11.0,30.0,88.0,23.0,10.0,62.0,73.0,45.0,13.0,10.0,72.0,69.0,30.0,49.0,74.0,61.0,76.0,87.0,53.0,29.0,91.0,24.0,42.0,70.0
208,2025-07-03 16:30:45.696911+00:00,0.1,0.1,81.0,23.0,66.0,77.0,69.0,10.0,90.0,47.0,26.0,10.0,95.0,51.0,66.0,25.0,96.0,80.0,89.0,22.0,70.0,23.0,26.0,46.0,100.0,81.0,50.0,12.0,31.0,51.0,79.0,4.0,23.0,91.0,82.0,72.0,30.0,17.0,58.0,20.0,50.0,82.0
209,2025-07-03 16:30:45.841389+00:00,0.1,0.1,20.0,97.0,49.0,55.0,83.0,2.0,48.0,33.0,0.0,63.0,71.0,11.0,43.0,59.0,11.0,76.0,76.0,50.0,20.0,55.0,26.0,60.0,38.0,90.0,82.0,77.0,65.0,95.0,70.0,92.0,86.0,17.0,82.0,40.0,77.0,40.0,34.0,61.0,84.0,42.0
210,2025-07-03 16:30:45.899514+00:00,0.1,0.1,70.0,26.0,62.0,27.0,11.0,20.0,65.0,58.0,6.0,78.0,83.0,3.0,63.0,13.0,97.0,70.0,55.0,61.0,66.0,35.0,22.0,98.0,66.0,97.0,90.0,33.0,56.0,76.0,14.0,47.0,99.0,15.0,90.0,3.0,91.0,41.0,90.0,50.0,67.0,63.0
